sample_idx,silent_us,silent_ms,frame_bytes
844,136,0.136,23
845,133,0.133,23
846,132,0.132,23
847,132,0.132,23
848,131,0.131,23
849,132,0.132,23
850,131,0.131,23
851,136,0.136,23
852,132,0.132,23
853,132,0.132,23
854,132,0.132,23
855,132,0.132,23
856,132,0.132,23
857,129,0.129,23
858,132,0.132,23
859,134,0.134,23
860,131,0.131,23
861,129,0.129,23
862,132,0.132,23
863,131,0.131,23
864,132,0.132,23
865,132,0.132,23
866,135,0.135,23
867,131,0.131,23
868,132,0.132,23
869,132,0.132,23
870,129,0.129,23
871,132,0.132,23
872,131,0.131,23
873,129,0.129,23
874,136,0.136,23
875,128,0.128,23
876,130,0.13,23
877,130,0.13,23
878,127,0.127,23
879,130,0.13,23
880,130,0.13,23
881,137,0.137,23
882,135,0.135,23
883,129,0.129,23
884,132,0.132,23
885,131,0.131,23
886,127,0.127,23
887,129,0.129,23
888,133,0.133,23
889,133,0.133,23
890,128,0.128,23
891,131,0.131,23
892,129,0.129,23
893,129,0.129,23
894,129,0.129,23
895,129,0.129,23
896,137,0.137,23
897,130,0.13,23
898,131,0.131,23
899,132,0.132,23
900,132,0.132,23
901,130,0.13,23
902,131,0.131,23
903,136,0.136,23
904,506,0.506,23
905,133,0.133,23
906,131,0.131,23
907,126,0.126,23
908,132,0.132,23
909,129,0.129,23
910,132,0.132,23
911,132,0.132,23
912,131,0.131,23
913,132,0.132,23
914,132,0.132,23
915,135,0.135,23
916,133,0.133,23
917,133,0.133,23
918,130,0.13,23
919,131,0.131,23
920,132,0.132,23
921,128,0.128,23
922,131,0.131,23
923,150,0.15,23
924,136,0.136,23
925,132,0.132,23
926,133,0.133,23
927,131,0.131,23
928,132,0.132,23
929,132,0.132,23
930,143,0.143,23
931,141,0.141,23
932,134,0.134,23
933,131,0.131,23
934,131,0.131,23
935,130,0.13,23
936,127,0.127,23
937,134,0.134,23
938,146,0.146,23
939,191,0.191,23
940,201,0.201,23
941,183,0.183,23
942,140,0.14,23
943,159,0.159,23
944,137,0.137,23
945,137,0.137,23
946,134,0.134,23
947,131,0.131,23
948,131,0.131,23
949,131,0.131,23
950,138,0.138,23
951,133,0.133,23
952,132,0.132,23
953,133,0.133,23
954,133,0.133,23
955,133,0.133,23
956,132,0.132,23
957,130,0.13,23
958,138,0.138,23
959,131,0.131,23
960,148,0.148,23
961,133,0.133,23
962,131,0.131,23
963,132,0.132,23
964,127,0.127,23
965,136,0.136,23
966,133,0.133,23
967,131,0.131,23
968,132,0.132,23
969,131,0.131,23
970,131,0.131,23
971,131,0.131,23
972,136,0.136,23
973,131,0.131,23
974,130,0.13,23
975,127,0.127,23
976,133,0.133,23
977,131,0.131,23
978,132,0.132,23
979,127,0.127,23
980,135,0.135,23
981,131,0.131,23
982,132,0.132,23
983,132,0.132,23
984,133,0.133,23
985,132,0.132,23
986,132,0.132,23
987,137,0.137,23
988,131,0.131,23
989,130,0.13,23
990,127,0.127,23
991,132,0.132,23
992,131,0.131,23
993,131,0.131,23
994,134,0.134,23
995,132,0.132,23
996,131,0.131,23
997,132,0.132,23
998,164,0.164,23
999,137,0.137,23
1000,130,0.13,23
1001,137,0.137,23
1002,134,0.134,23
1003,132,0.132,23
1004,130,0.13,23
1005,131,0.131,23
1006,132,0.132,23
1007,131,0.131,23
1008,130,0.13,23
1009,135,0.135,23
1010,131,0.131,23
1011,131,0.131,23
1012,132,0.132,23
1013,130,0.13,23
1014,130,0.13,23
1015,130,0.13,23
1016,135,0.135,23
1017,136,0.136,23
1018,138,0.138,23
1019,132,0.132,23
1020,132,0.132,23
1021,134,0.134,23
1022,133,0.133,23
1023,135,0.135,23
1024,128,0.128,23
1025,146,0.146,23
1026,131,0.131,23
1027,130,0.13,23
1028,133,0.133,23
1029,131,0.131,23
1030,131,0.131,23
1031,137,0.137,23
1032,131,0.131,23
1033,138,0.138,23
1034,131,0.131,23
1035,127,0.127,23
1036,131,0.131,23
1037,131,0.131,23
1038,131,0.131,23
1039,131,0.131,23
1040,127,0.127,23
1041,131,0.131,23
1042,131,0.131,23
1043,132,0.132,23
1044,130,0.13,23
1045,131,0.131,23
1046,136,0.136,23
1047,130,0.13,23
1048,132,0.132,23
1049,130,0.13,23
1050,130,0.13,23
1051,126,0.126,23
1052,131,0.131,23
1053,133,0.133,23
1054,132,0.132,23
1055,130,0.13,23
1056,132,0.132,23
1057,132,0.132,23
1058,131,0.131,23
1059,132,0.132,23
1060,136,0.136,23
1061,132,0.132,23
1062,132,0.132,23
1063,132,0.132,23
1064,131,0.131,23
1065,131,0.131,23
1066,131,0.131,23
1067,132,0.132,23
1068,131,0.131,23
1069,129,0.129,23
1070,131,0.131,23
1071,126,0.126,23
1072,132,0.132,23
1073,129,0.129,23
1074,132,0.132,23
1075,2513,2.513,23
1076,152,0.152,23
1077,140,0.14,23
1078,136,0.136,23
1079,132,0.132,23
1080,142,0.142,23
1081,136,0.136,23
1082,130,0.13,23
1083,136,0.136,23
1084,135,0.135,23
1085,135,0.135,23
1086,133,0.133,23
1087,137,0.137,23
1088,133,0.133,23
1089,132,0.132,23
1090,132,0.132,23
1091,133,0.133,23
1092,132,0.132,23
1093,131,0.131,23
1094,135,0.135,23
1095,133,0.133,23
1096,133,0.133,23
1097,131,0.131,23
1098,132,0.132,23
1099,126,0.126,23
1100,130,0.13,23
1101,129,0.129,23
1102,148,0.148,23
1103,132,0.132,23
1104,132,0.132,23
1105,132,0.132,23
1106,133,0.133,23
1107,136,0.136,23
1108,132,0.132,23
1109,136,0.136,23
1110,130,0.13,23
1111,131,0.131,23
1112,131,0.131,23
1113,132,0.132,23
1114,131,0.131,23
1115,133,0.133,23
1116,137,0.137,23
1117,132,0.132,23
1118,130,0.13,23
1119,131,0.131,23
1120,131,0.131,23
1121,132,0.132,23
1122,127,0.127,23
1123,135,0.135,23
1124,133,0.133,23
1125,130,0.13,23
1126,131,0.131,23
1127,131,0.131,23
1128,134,0.134,23
1129,131,0.131,23
1130,132,0.132,23
1131,134,0.134,23
1132,130,0.13,23
1133,131,0.131,23
1134,134,0.134,23
1135,132,0.132,23
1136,133,0.133,23
1137,133,0.133,23
1138,136,0.136,23
1139,127,0.127,23
1140,131,0.131,23
1141,132,0.132,23
1142,131,0.131,23
1143,132,0.132,23
1144,126,0.126,23
1145,135,0.135,23
1146,130,0.13,23
1147,132,0.132,23
1148,131,0.131,23
1149,132,0.132,23
1150,133,0.133,23
1151,127,0.127,23
1152,130,0.13,23
1153,138,0.138,23
1154,133,0.133,23
1155,133,0.133,23
1156,131,0.131,23
1157,132,0.132,23
1158,131,0.131,23
1159,132,0.132,23
1160,138,0.138,23
1161,134,0.134,23
1162,131,0.131,23
1163,133,0.133,23
1164,131,0.131,23
1165,129,0.129,23
1166,126,0.126,23
1167,131,0.131,23
1168,132,0.132,23
1169,133,0.133,23
1170,133,0.133,23
1171,134,0.134,23
1172,130,0.13,23
1173,132,0.132,23
1174,136,0.136,23
1175,130,0.13,23
1176,132,0.132,23
1177,133,0.133,23
1178,131,0.131,23
1179,130,0.13,23
1180,143,0.143,23
1181,186,0.186,23
1182,205,0.205,23
1183,201,0.201,23
1184,141,0.141,23
1185,148,0.148,23
1186,137,0.137,23
1187,143,0.143,23
1188,137,0.137,23
1189,134,0.134,23
1190,133,0.133,23
1191,131,0.131,23
1192,133,0.133,23
1193,133,0.133,23
1194,136,0.136,23
1195,135,0.135,23
1196,133,0.133,23
1197,131,0.131,23
1198,133,0.133,23
1199,148,0.148,23
1200,132,0.132,23
1201,127,0.127,23
1202,134,0.134,23
1203,142,0.142,23
1204,133,0.133,23
1205,131,0.131,23
1206,135,0.135,23
1207,131,0.131,23
1208,130,0.13,23
1209,137,0.137,23
1210,134,0.134,23
1211,131,0.131,23
1212,130,0.13,23
1213,131,0.131,23
1214,130,0.13,23
1215,131,0.131,23
1216,131,0.131,23
1217,127,0.127,23
1218,132,0.132,23
1219,132,0.132,23
1220,131,0.131,23
1221,132,0.132,23
1222,134,0.134,23
1223,134,0.134,23
1224,131,0.131,23
1225,131,0.131,23
1226,133,0.133,23
1227,127,0.127,23
1228,131,0.131,23
1229,130,0.13,23
1230,132,0.132,23
1231,137,0.137,23
1232,132,0.132,23
1233,128,0.128,23
1234,133,0.133,23
1235,130,0.13,23
1236,132,0.132,23
1237,132,0.132,23
1238,137,0.137,23
1239,132,0.132,23
1240,129,0.129,23
1241,132,0.132,23
1242,132,0.132,23
1243,132,0.132,23
1244,131,0.131,23
1245,135,0.135,23
1246,132,0.132,23
1247,130,0.13,23
1248,131,0.131,23
1249,131,0.131,23
1250,132,0.132,23
1251,130,0.13,23
1252,132,0.132,23
1253,136,0.136,23
1254,132,0.132,23
1255,134,0.134,23
1256,132,0.132,23
1257,130,0.13,23
1258,130,0.13,23
1259,128,0.128,23
1260,137,0.137,23
1261,132,0.132,23
1262,132,0.132,23
1263,131,0.131,23
1264,134,0.134,23
1265,132,0.132,23
1266,127,0.127,23
1267,132,0.132,23
1268,129,0.129,23
1269,128,0.128,23
1270,132,0.132,23
1271,132,0.132,23
1272,130,0.13,23
1273,132,0.132,23
1274,136,0.136,23
1275,135,0.135,23
1276,132,0.132,23
1277,133,0.133,23
1278,131,0.131,23
1279,132,0.132,23
1280,131,0.131,23
1281,131,0.131,23
1282,135,0.135,23
1283,133,0.133,23
1284,133,0.133,23
1285,130,0.13,23
1286,131,0.131,23
1287,132,0.132,23
1288,134,0.134,23
1289,133,0.133,23
1290,133,0.133,23
1291,186,0.186,23
1292,196,0.196,23
1293,176,0.176,23
1294,144,0.144,23
1295,157,0.157,23
1296,142,0.142,23
1297,134,0.134,23
1298,135,0.135,23
1299,133,0.133,23
1300,135,0.135,23
1301,132,0.132,23
1302,136,0.136,23
1303,127,0.127,23
1304,133,0.133,23
1305,134,0.134,23
1306,131,0.131,23
1307,129,0.129,23
1308,133,0.133,23
1309,156,0.156,23
1310,132,0.132,23
1311,133,0.133,23
1312,133,0.133,23
1313,134,0.134,23
1314,133,0.133,23
1315,131,0.131,23
1316,136,0.136,23
1317,129,0.129,23
1318,130,0.13,23
1319,132,0.132,23
1320,129,0.129,23
1321,131,0.131,23
1322,131,0.131,23
1323,139,0.139,23
1324,134,0.134,23
1325,133,0.133,23
1326,127,0.127,23
1327,130,0.13,23
1328,131,0.131,23
1329,131,0.131,23
1330,134,0.134,23
1331,135,0.135,23
1332,138,0.138,23
1333,129,0.129,23
1334,132,0.132,23
1335,130,0.13,23
1336,132,0.132,23
1337,132,0.132,23
1338,136,0.136,23
1339,132,0.132,23
1340,132,0.132,23
1341,134,0.134,23
1342,132,0.132,23
1343,131,0.131,23
1344,131,0.131,23
1345,134,0.134,23
1346,132,0.132,23
1347,129,0.129,23
1348,127,0.127,23
1349,132,0.132,23
1350,132,0.132,23
1351,133,0.133,23
